GeneID	Normal 6	Tumor 6	Normal 10	Tumor 10	Normal 9	Tumor 9	Normal 5	Tumor 5	Normal 8	Tumor 8	Normal 3	Tumor 3	Normal 2	Tumor 2	Normal 1	Tumor 1	Normal 4	Tumor 4	Normal 7	Tumor 7
FGF1	1.702694115	0.624900137	1.911164119	2.990378849	1.094526595	0.778325259	3.312941168	1.592625135	2.221234132	1.496639991	3.112155182	2.171097559	1.86853223	3.499114774	1.523956386	0.414402899	2.02509076	1.787619634	2.554266903	1.371114618
FGF2	5.333312166	0.437843902	6.049774167	1.428683667	4.659942581	0.306755485	2.889059042	1.436442996	5.186402885	0.123087207	2.54129135	2.700879069	3.498045188	2.377723811	4.223064471	2.277796251	3.195285027	0.920600361	4.928551944	1.14181793
NDUFC2-KCTD14	2.867642065	3.976065466	1.90617929	3.054284766	5.839879831	47.48489284	3.530029934	4.829882904	3.142286174	5.849866966	5.463782403	3.952932939	4.948988744	1.792572098	4.11540293	9.208761688	7.440193403	10.41064471	7.730306171	8.025542119
LOC101927168	0.111896331	0	0.845853315	0.146061715	0	0	0	0.166051722	0.256229802	0	0	0.457125309	0	0	0.396594728	0	0.170222882	0	0	0
LOC101927165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.038366844	0.690575065	1.195495916
FGF4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.067402913	0
LOC101927166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF5	0.652109145	0.008599562	0.721384642	0.17647204	0.062480759	0	0.088037859	1.2745525	0.145683451	0	0.520495891	0.129952862	0.102855212	0.19925405	0.291258069	0.055061563	0.036293578	0.033062836	0.167850639	0.070442742
RIMS2	0.155558239	0.100928582	0.49649321	1.022043212	0.285173827	0	0.344418166	0.500164261	0.083115802	0.055026744	0.319413813	0.730819755	0.45268427	5.014871243	0.079638845	1.105769435	0.157762526	2.450408866	0.407924224	0.218170077
MIR4506	4.452602069	0	1.40243212	0.726514763	5.466052128	1.499250836	4.621130095	4.129727889	0	0	2.857094329	1.136876581	0	0	1.315114986	0	0.846693036	0	0	0
RIMS1	1.746220217	0.011838815	1.227598329	0.407289985	2.537465814	0.014745474	0.99232212	0.584882141	0.338443273	0.067773072	1.496334273	2.828904416	2.690368641	0.402318927	0.763132888	0.174344504	1.240785439	0.219998003	0.955814459	0.157587404
FGF6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
